rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,possible_duplicate_of,place_id,source_url
11,needs_review,gate3:firearm_business_review,Guns N Ammo,http://www.gunsnarrows.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4,93,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJAfzNHYS-mYARMKVpPPix1Zk,https://maps.google.com/?cid=11084961737565906224&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,needs_review,gate3:firearm_business_review,Bizarre Guns,,Sporting Goods Store,sporting_goods_store,OPERATIONAL,3.8,89,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJjXQMjKU4mYARRknghp8fkSI,https://maps.google.com/?cid=2490806838935701830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
13,needs_review,gate5_pre:no_website_field,Donner Lake E Bikes,,Services,service,OPERATIONAL,5,7,true,cycling; ebike,bike rental; ebike rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJ-0E9UJrhm4AReRY7fH4VbfE,https://maps.google.com/?cid=17396584568596403833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,needs_review,gate5_pre:no_website_field,Lady Luck Skate & Smoke Shop,,Store,store,OPERATIONAL,4.5,76,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJO3hKsSt7mYARlKDHlA0MW7E,https://maps.google.com/?cid=12779821620064133268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
15,needs_review,gate5_pre:no_website_field,The Thrifty Equine,,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.8,60,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJU9TywWagmYARe8LCLhXehxE,https://maps.google.com/?cid=1263222403060908667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
16,needs_review,gate3:firearm_business_review,Reno Bulk Ammo,https://renobulkammo.com/,Suppliers,supplier,OPERATIONAL,5,59,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJdbLVD7U_mYARyZhjF9taoco,https://maps.google.com/?cid=14601051363948599497&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,needs_review,gate3:firearm_business_review,Illumined Arms,https://illuminedarms.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.3,55,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJ11kk0kg_mYARLCJtcRJt2BY,https://maps.google.com/?cid=1646185589783732780&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,needs_review,gate5_pre:no_website_field,Lady Luck Skate and Smoke Shop,,Store,store,OPERATIONAL,4.8,45,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJ_1tItoJxmYARveWs9_5FjoM,https://maps.google.com/?cid=9479591227040785853&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,needs_review,gate3:firearm_business_review,Little City Guns,,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.4,42,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJFV9YYBI4mYARh7eVDmvZSjY,https://maps.google.com/?cid=3912178280154118023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
20,needs_review,gate5_pre:no_website_field,Deep Blue Yacht Cruises,,Services,service,OPERATIONAL,5,3,true,canoe,canoe rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJ93TcKiO6UQ4Ri4t20_kRd3M,https://maps.google.com/?cid=8320138601282571147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
